dataFrom,date,review,rating,extracted_devresp,devresp_time
googlePlay,20230201T031434481Z,Like this app over Trust and others Concept similar to Timo bank in VN which I used before when I was living there 5k account limit is shocking to me since these days where got people only save 5k Hope for an update on this asap as well as debit card Otherwise interface is clean easy to use easy to sign up good interest rate For now gxs looks promising to be my permanent savings bank Others will just serve as my Spent account or salary credit account,5,Thank you so much for your kind words Adrian Oh believe us we want to help you achieve your goals faster too Weve just launched so were working on improving our products services and increasing the limit Rest assured that youll be notified once we increase the deposit cap Thank you ,20230201T040732201Z
googlePlay,20230131T000651834Z,Easy to set up and smooth sign in  attractive interest rate it would be great if the saving caps could be higher than 5000 ,5,We hear you Hiok Oh believe us we want to help you achieve your goals faster too Weve just launched so were working on improving our products services and increasing the limit Rest assured that youll be notified once we increase the deposit cap Thank you,20230131T011213470Z
googlePlay,20230129T154109174Z,One of the worst app I ever installed Such a proclaimed digital bank yet cant even get the app to work properly Since day one till now after sign up the app never works keep stating slipspace If you cant get the app work properly then dont launch it How to trust and put our money in such an app if it doesnt even work properly Trust app is so much better,1,Hi Edmund this is not the experience we want you to have Would you be able to drop us an email at helpgxscomsg describing the above issue with your contact details mobile device model and also a screen recording of the above issue so that we can look into this matter Thank you,20230130T042321444Z
googlePlay,20230125T105059517Z,The app works great simple yet effective enough to encourage savings via pockets so that users do not unknowingly overspent using the main account and that explain the lower interest as compared to funds kept inside the pockets Although its good to start small i do hope the bank can increase the saving caps to encourage even more savingsSecurity wise while i think is on par with industry standard but there are still room to enhance it further as scammers are getting smarter everyday,5,Hi there We are happy that you like our app and Saving Pockets feature We strive to give our customers the best app experience and attractive interest rates Thanks for sharing your thoughts,20230125T114239877Z
googlePlay,20230117T072358133Z,The overall design of the app is great but the CNY banner looks so out of place in the latest version,3,Hey Bob thanks for sharing your thoughts about our CNY banner We have taken note of your feedback and will take this into account for future festivethemed updates to ensure that all design elements fit in with the overall look and feel of the app ,20230117T083942407Z
googlePlay,20230114T060537355Z,The screen cannot respond entirely After going through the screen login the app completely doesnt respond touch Very buggy,2,Hi Gary kindly check that you are on our latest GXS app version 171 for Android If the issue still persists please reach us via our 247 hotline at 3105 2055 Alternatively you can email us at helpgxscomsg so that we can look into this further Were working hard on improving our app experience Thank you for your feedback ,20230114T090111645Z
googlePlay,20230114T005658595Z,Looking at past review and after installing the app I must say the effort to launch progressively paid off instead of rushing into it Was kind of concern if this is going to take off but I guess the objective is to ensure a safe bankng experience rather than rushing to grab the market No observable bug and smooth sign in process,5,Hey Kevin Thank you very much for your 5 stars review We are happy that you like our awesome app  And yes were inviting customers progressively to make sure that everything is well built for the best experience possible Glad to hear that you enjoy our smooth signup process as well Please keep using our app ,20230114T075401136Z
googlePlay,20230113T144416800Z,Screen loaded but when no response when I press I have an account,2,Hi M Fenlin thanks for sharing with us your feedback Would you be able to contact our 247 hotline at 3105 2055 or email us at helpgxscomsg so that we can look into this and make things right We are working hard to improve our app and appreciate you giving us an opportunity to make your experience better ,20230114T074344546Z
googlePlay,20230103T092724914Z,Cannot sign up already,1,Hey there  we are still rolling out registration in batches to ensure everything is wellbuilt for the best user experience Keep your eyes peeled on your email inbox and spam folder too when the invite lands if you have signed up prior We will let you know when were ready for you,20230105T011208961Z
googlePlay,20221227T071438336Z,Nice app Love the Saving pockets,5,Glad to hear that youve been enjoying our app and that you like the Saving Pockets feature We have been busy working on new and exciting stuff and we cant wait for you to try them out in the future ,20221227T074847160Z
googlePlay,20221227T060235155Z,Great rates easy to use get Grab points just by linking the account,5,Thank you very much for your kind words YongChang  We appreciate your support ,20221227T061122945Z
googlePlay,20221220T035626690Z,Amazing app,5,Hey there  Happy to hear that you have been enjoying the banking experience on our app Thank you for your 5 stars review and we appreciate the support ,20221220T042607304Z
googlePlay,20221219T183900815Z,If you not ready dont waste everbodys time and effort to install your app Before launch your app rating is 25 you guys are really clueless Dec20  they opened my Saving Account with cap of 5K are you kidding me Running a bank or school project,1,Thanks for sharing your thoughts above As a digital bank we are operating under a Digital Full Bank Framework which includes a deposit cap on the bank during the entry phase By having a 5k limit on each account it enables us to invite and serve more customers,20221223T025946909Z
googlePlay,20221212T140204898Z,Great app Kudos to the GXS team in developing such an amazing app Excited to see what more this product can do,5,Thank you so much for the lovely words Marcus Were thrilled to hear that youre enjoying the app and were constantly working to make it even better We appreciate your support ,20221213T011908561Z
googlePlay,20221208T090252594Z,seamless,5,Happy to hear that you have been enjoying the banking experience on our app Amelia Have a great week ahead ,20221208T100057945Z
googlePlay,20221208T085926373Z,Its seemless banking experience,5,This review means the world to us Prabhakaran and thanks for the 5star review It made our day ,20221208T095011817Z
googlePlay,20221208T085918190Z,Beautiful graphics and theme userfriendly,5,Happy to hear that you have been enjoying the GXS experience David Have an awesome day ,20221208T095115117Z
googlePlay,20221207T154157296Z,best app experience looking forward for more breakthrough features in digi banking,5,Thank you very much for the kind words and support for our app Abe Adduru  Have a great week ahead ,20221208T005341950Z
googlePlay,20221122T124221109Z,Intuitive interface,5,Hi YY Were happy that you love our app interface Thanks for your five star review We are continuously working on adding more features to our app to make your experience better Have an awesome day ,20221122T133553662Z
googlePlay,20221101T103055943Z,The bank is not ready at all Im your ecosystem user This is how you treat you ecosystem customer,1,Thanks for sharing with us your thoughts This is not the experience we want you to have Would you be able to contact our 247 hotline at 3105 2055 or email us at helpgxscomsg so that we can take a look in detail and make things right Thank you,20221101T105356308Z
googlePlay,20221027T065735737Z,Loving the color scheme,5,Hey Joey Were delighted to know that you love our app  Thank you so much for your 5star review it made our day ,20221027T074622748Z
googlePlay,20221007T022312519Z,The app is very user friendly and easy to set up I personally like the way they take information security seriously by making sure our phone is secure via pin authentication With all thats happening around makes me so much more reassured that they take security seriously,5,Hi Renuka Thank you very much for your 5 stars review  GXS is committed to safeguarding your account and we are elated to know that you feel safe when you bank with us Thanks for taking the time to leave a feedback  we strive to serve you better ,20221007T030950130Z
googlePlay,20221005T013232453Z,Amazing app experience,5,Hey Hardik thank you for the 5 star review and it means the world to us  We aim to create a better banking experience for everyone and were glad to have you onboard this journey with us,20221005T040126797Z
googlePlay,20221004T072654762Z,Apps is fast and UI is cool,4,Hey there Were happy that you like our app ,20221004T081050703Z
googlePlay,20221004T052028253Z,Awesome experience so far UI is flawless Innovative ideas of various pockets and ROI caught my interest,5,Hey Vijay Were excited to know that you love our app  So glad youre enjoying the Saving Pockets too ,20221004T055309406Z
googlePlay,20221003T105243122Z,beautiful app,5,Hi Megha Thank you very much for your 5 stars review  Your support and voice are very important to us Keep using our app ,20221003T115040922Z
googlePlay,20221003T062516703Z,Design is nice and easy to use,5,"Hi Thiru

Thank you so much for your 5 star review and feedback ",20221003T071328316Z
googlePlay,20221003T061708468Z,Intuitive and UserFriendly Interface No doubt there are further improvements to be made Looking forward to what the digital banking scene has to offer Suggestion to have an interfacesection for users to offer feedback  suggestions for potential pain pointsimprovements,5,Hey Arathiel Were glad to hear youre enjoying the intuitive and userfriendly interface  Thanks for taking the time to leave a feedback  we strive to serve you better ,20221003T071733500Z
googlePlay,20220925T132551963Z,If your bank is not ready for the public you shouldnt even shout out you are ready Unlike Trust you download the app and they are really to accept application sign up Super disappointed and how to trust my fund with your organisation,1,Hi Hendri we are excited to have you on board Were inviting customers progressively to make sure that everything is well built for the best experience possible For now download the app and register your interest We will let you know when were ready for you,20220926T011520271Z
